source,destination,timestamp,state_label,w
42,67,4,0,0.0
67,126,5,0,0.0
126,42,6,0,0.0
164,26,7,0,0.0
26,85,8,0,0.0
85,164,9,0,0.0
120,174,9,0,0.0
174,200,10,0,0.0
200,120,11,0,0.0
113,128,11,0,0.0
128,14,12,0,0.0
14,113,13,0,0.0
210,204,17,0,0.0
204,231,18,0,0.0
231,210,19,0,0.0
72,65,21,0,0.0
65,45,22,0,0.0
45,72,23,0,0.0
67,206,26,0,0.0
206,249,27,0,0.0
249,67,28,0,0.0
126,73,31,0,0.0
73,111,32,0,0.0
111,126,33,0,0.0
149,213,37,0,0.0
213,41,38,0,0.0
41,149,39,0,0.0
19,37,40,0,0.0
37,219,41,0,0.0
219,19,42,0,0.0
122,130,42,0,0.0
130,225,43,0,0.0
225,122,44,0,0.0
79,233,49,0,0.0
233,64,50,0,0.0
64,79,51,0,0.0
239,126,54,0,0.0
126,132,55,0,0.0
132,239,56,0,0.0
10,186,59,0,0.0
186,72,60,0,0.0
72,10,61,0,0.0
77,19,62,0,0.0
19,207,63,0,0.0
207,77,64,0,0.0
123,143,65,0,0.0
143,44,66,0,0.0
44,123,67,0,0.0
193,177,68,0,0.0
177,70,69,0,0.0
70,193,70,0,0.0
209,120,76,0,0.0
120,239,77,0,0.0
239,209,78,0,0.0
86,249,80,0,0.0
249,215,81,0,0.0
215,86,82,0,0.0
134,228,84,0,0.0
228,158,85,0,0.0
158,134,86,0,0.0
16,130,91,0,0.0
130,40,92,0,0.0
40,16,93,0,0.0
60,220,94,0,0.0
220,61,95,0,0.0
61,60,96,0,0.0
73,220,98,0,0.0
220,11,99,0,0.0
11,73,100,0,0.0
211,177,103,0,0.0
177,39,104,0,0.0
39,211,105,0,0.0
184,53,105,0,0.0
53,48,106,0,0.0
159,233,106,0,0.0
58,241,106,0,0.0
48,184,107,0,0.0
233,7,107,0,0.0
241,214,107,0,0.0
7,159,108,0,0.0
214,58,108,0,0.0
191,136,113,0,0.0
136,153,114,0,0.0
153,191,115,0,0.0
82,240,118,0,0.0
240,139,119,0,0.0
139,82,120,0,0.0
28,55,124,0,0.0
55,33,125,0,0.0
33,28,126,0,0.0
27,47,130,0,0.0
47,115,131,0,0.0
115,27,132,0,0.0
89,141,134,0,0.0
141,145,135,0,0.0
145,89,136,0,0.0
11,89,144,0,0.0
89,111,145,0,0.0
111,11,146,0,0.0
64,20,147,0,0.0
20,53,148,0,0.0
53,64,149,0,0.0
137,25,152,0,0.0
25,217,153,0,0.0
217,137,154,0,0.0
71,205,154,0,0.0
205,7,155,0,0.0
7,71,156,0,0.0
95,188,158,0,0.0
188,195,159,0,0.0
195,95,160,0,0.0
184,141,164,0,0.0
141,221,165,0,0.0
221,184,166,0,0.0
240,139,171,0,0.0
139,220,172,0,0.0
220,240,173,0,0.0
179,111,179,0,0.0
111,18,180,0,0.0
18,179,181,0,0.0
239,186,183,0,0.0
186,217,184,0,0.0
217,239,185,0,0.0
46,0,188,0,0.0
0,79,189,0,0.0
79,46,190,0,0.0
115,242,192,0,0.0
242,39,193,0,0.0
39,115,194,0,0.0
1,197,195,0,0.0
197,218,196,0,0.0
218,1,197,0,0.0
186,20,199,0,0.0
20,56,200,0,0.0
56,186,201,0,0.0
108,76,204,0,0.0
76,98,205,0,0.0
98,108,206,0,0.0
110,246,209,0,0.0
246,39,210,0,0.0
39,110,211,0,0.0
200,105,213,0,0.0
105,119,214,0,0.0
119,200,215,0,0.0
85,132,217,0,0.0
132,170,218,0,0.0
170,85,219,0,0.0
118,168,226,0,0.0
168,157,227,0,0.0
157,118,228,0,0.0
172,82,234,0,0.0
82,146,235,0,0.0
146,172,236,0,0.0
48,82,237,0,0.0
82,227,238,0,0.0
227,48,239,0,0.0
66,53,246,0,0.0
53,50,247,0,0.0
50,66,248,0,0.0
133,216,250,0,0.0
216,130,251,0,0.0
130,133,252,0,0.0
63,197,253,0,0.0
197,193,254,0,0.0
193,63,255,0,0.0
78,39,261,0,0.0
39,28,262,0,0.0
28,78,263,0,0.0
152,75,265,0,0.0
75,235,266,0,0.0
235,152,267,0,0.0
224,158,273,0,0.0
158,151,274,0,0.0
151,224,275,0,0.0
237,109,283,0,0.0
109,222,284,0,0.0
222,237,285,0,0.0
146,148,287,0,0.0
148,152,288,0,0.0
152,146,289,0,0.0
98,162,293,0,0.0
162,21,294,0,0.0
21,98,295,0,0.0
90,130,295,0,0.0
130,176,296,0,0.0
176,90,297,0,0.0
225,10,305,0,0.0
10,96,306,0,0.0
96,225,307,0,0.0
69,192,312,0,0.0
192,204,313,0,0.0
204,69,314,0,0.0
142,120,319,0,0.0
120,202,320,0,0.0
202,142,321,0,0.0
223,63,330,0,0.0
63,181,331,0,0.0
